Date,Investment,Type,Amount,Shares,,
07/07/2010,FID SEL TECHNOLOGY,CONTRIBUTION,276.02,3.76,,
07/07/2010,FID SEL ENERGY,CONTRIBUTION,276.04,7.10,,
07/07/2010,FID SEL CONS STAPLES,CONTRIBUTION,276.04,4.66,,
07/07/2010,FID LATIN AMERICA,CONTRIBUTION,276.04,5.73,,
06/30/2010,FID NEW MARKETS INC,Dividends and Interest,24.35,1.60,,
07/30/2010,FID INFLAT PROT BOND,Dividends and Interest,5.48,0.47,,
06/30/2010,FID HIGH INCOME,Dividends and Interest,15.88,1.88,,
06/30/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,54.20,6.35,,
06/30/2010,FID INFLAT PROT BOND,Dividends and Interest,5.33,0.46,,
06/09/2010,FID SEL WIRELESS,CONTRIBUTION,270.90,42.46,,
06/09/2010,FID SEL TECHNOLOGY,CONTRIBUTION,270.90,3.80,,
06/09/2010,FID SEL ENERGY,CONTRIBUTION,270.90,7.11,,
06/09/2010,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.63,,
06/09/2010,FID LATIN AMERICA,CONTRIBUTION,270.90,5.92,,
05/28/2010,FID NEW MARKETS INC,Dividends and Interest,26.67,1.77,,
06/11/2010,FID INFLAT PROT BOND,Dividends and Interest,7.36,0.64,,
05/28/2010,FID HIGH INCOME,Dividends and Interest,16.76,1.99,,
05/28/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,60.47,7.03,,
05/12/2010,FID SEL WIRELESS,CONTRIBUTION,270.90,40.01,,
05/12/2010,FID SEL TECHNOLOGY,CONTRIBUTION,270.90,3.43,,
05/12/2010,FID SEL ENERGY,CONTRIBUTION,270.90,6.25,,
05/12/2010,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.37,,
05/12/2010,FID LATIN AMERICA,CONTRIBUTION,270.90,5.51,,
04/30/2010,FID NEW MARKETS INC,Dividends and Interest,26.48,1.70,,
05/28/2010,FID INFLAT PROT BOND,Dividends and Interest,5.61,0.49,,
04/30/2010,FID HIGH INCOME,Dividends and Interest,15.34,1.74,,
04/30/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,52.55,5.76,,
04/09/2010,FID SEL NATURAL RES,Dividends and Interest,3.69,0.12,,
04/09/2010,FID SEL CONS STAPLES,Dividends and Interest,34.57,0.54,,
04/07/2010,FID SEL WIRELESS,CONTRIBUTION,270.90,39.32,,
04/07/2010,FID SEL TECHNOLOGY,CONTRIBUTION,270.90,3.42,,
04/07/2010,FID SEL ENERGY,CONTRIBUTION,270.90,5.95,,
04/07/2010,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.25,,
04/07/2010,FID LATIN AMERICA,CONTRIBUTION,270.90,5.15,,
03/31/2010,FID NEW MARKETS INC,Dividends and Interest,27.81,1.80,,
04/30/2010,FID INFLAT PROT BOND,Dividends and Interest,5.38,0.47,,
03/31/2010,FID HIGH INCOME,Dividends and Interest,15.92,1.84,,
03/31/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,56.40,6.32,,
03/10/2010,FID SEL WIRELESS,CONTRIBUTION,270.90,39.55,,
03/10/2010,FID SEL TECHNOLOGY,CONTRIBUTION,270.90,3.53,,
03/10/2010,FID SEL ENERGY,CONTRIBUTION,270.90,5.92,,
03/10/2010,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.34,,
03/10/2010,FID LATIN AMERICA,CONTRIBUTION,270.90,5.23,,
02/26/2010,FID NEW MARKETS INC,Dividends and Interest,24.45,1.62,,
03/31/2010,FID INFLAT PROT BOND,Dividends and Interest,5.65,0.50,,
02/26/2010,FID HIGH INCOME,Dividends and Interest,14.39,1.70,,
02/26/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,49.09,5.70,,
02/10/2010,FID SEL WIRELESS,CONTRIBUTION,270.90,43.07,,
02/10/2010,FID SEL TECHNOLOGY,CONTRIBUTION,270.90,3.91,,
02/10/2010,FID SEL ENERGY,CONTRIBUTION,270.90,6.43,,
02/10/2010,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.58,,
02/10/2010,FID LATIN AMERICA,CONTRIBUTION,270.90,5.78,,
01/29/2010,FID NEW MARKETS INC,Dividends and Interest,4.59,0.31,,
02/26/2010,FID INFLAT PROT BOND,Dividends and Interest,4.69,0.42,,
01/29/2010,FID HIGH INCOME,Dividends and Interest,2.86,0.34,,
01/29/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,33.06,3.85,,
01/26/2010,FID NEW MARKETS INC,CONTRIBUTION,5542.00,367.02,,
01/29/2010,FID INFLAT PROT BOND,Dividends and Interest,0.86,0.08,,
01/26/2010,FID HIGH INCOME,CONTRIBUTION,2771.00,326.00,,
01/13/2010,FID SEL WIRELESS,CONTRIBUTION,270.90,38.81,,
01/13/2010,FID SEL TECHNOLOGY,CONTRIBUTION,270.90,3.57,,
01/13/2010,FID SEL NATURAL RES,Exchanges,11121.04,368.98,,
01/13/2010,FID SEL ENERGY,CONTRIBUTION,270.90,5.73,,
01/13/2010,FID SEL CONS STAPLES,CONTRIBUTION,270.90,4.39,,
01/13/2010,FID LATIN AMERICA,CONTRIBUTION,270.90,5.10,,
01/13/2010,FID DIVERSIFD INTL K,SHORT TERM REDEMPTION FEE,-6.50,-0.23,,
